Q1,Q5_2A1,Q5_2A2,Q5_2A3,Q9_2A1,Q9_2A2,Q9_2A3,Q10_1B1,Q10_1B2,Q10_1B3,Q10_1B4,Q10_1B5,Q10_1B6,Q10_1B7,Q10_1B8,Q10_1B9,Q10_1B10,Q10_1B11,Q10_1B12,Q10_1B13,Q10_1B14,Q10_1B15,Q10_1B16,Q10_1B17,Q10_2A1,Q10_2A2,Q10_2A3,Q14_1T,CQ14_2_1,CQ14_2_2,CQ14_2_3,CQ14_2_4,CQ14_2_5,CQ14_2_6,CQ14_2_7,ID,D_MON,D_COU1,D_GEN,D_AGE,D_Q5_1,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A10,Q15_2A12,Q16,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q14_2_10,D_YEAR
9.0,6.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,8.0,,,,,,,,,,명동/남대문/북창,신촌/홍대주변,안산 (대부도/시화호/별빛마을),1652.4199999999998,2.0,,5.0,4.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,2.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,,,,,2.0,2018-04
3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,동대문 패션타운,명동/남대문/북창,,1470.755,3.0,,5.0,4.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,,3.0,,,2.0,2018-05
2.0,2.0,11.0,8.0,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,,,2705.95,3.0,,5.0,4.0,2.0,1.0,1.0,5.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,,3.0,,,2.0,2018-07
5.0,,,,10.0,12.0,4.0,1.0,2.0,,,,,,8.0,,,,,,,,,,태종대,에버랜드,,1597.76708,4.0,,4.0,4.0,3.0,1.0,1.0,5.0,8.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,,,,,4.0,2018-08
15.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,,,374.272,2.0,,2.0,4.0,1.0,1.0,1.0,5.0,9.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,,4.0,,2.0,2018-09
5.0,1.0,2.0,8.0,2.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,신촌/홍대주변,명동/남대문/북창,동대문 패션타운,8819.710000000001,4.0,,5.0,4.0,2.0,1.0,1.0,5.0,10.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,,2.0,2018-10
2.0,2.0,5.0,8.0,1.0,2.0,9.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,잠실,강남역,5649.5625,3.0,,5.0,4.0,3.0,1.0,1.0,5.0,12.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,3.0,5.0,3.0,5.0,4.0,,,3.0,,,2.0,2018-12
1.0,,,,10.0,6.0,2.0,,,,,,,,,9.0,,,,,,,,,춘천 (남이섬),,,510.0,3.0,,2.0,3.0,1.0,1.0,1.0,6.0,1.0,14.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,4.0,5.0,5.0,,,,,5.0,1.0,2018-01
2.0,1.0,,,3.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,잠실,명동/남대문/북창,동대문 패션타운,793.0,2.0,,1.0,4.0,2.0,1.0,3.0,6.0,2.0,2.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,0.0,5.0,5.0,5.0,3.0,5.0,4.0,,2.0,,,,3.0,2018-02
15.0,,,,11.0,1.0,8.0,1.0,,3.0,,,,,,,,,,,,,,,명동/남대문/북창,여의도 (63빌딩),강남역,2032.75968,4.0,,1.0,4.0,3.0,1.0,1.0,6.0,3.0,2.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,,,,4.0,,3.0,2018-03
